#{"t_start": 1733819765.761373, "env_id": "None"}
r,l,t
8.0,8,0.348407
12.0,12,0.34928
14.0,14,0.349711
15.0,15,0.349936
18.0,18,0.350782
10.0,10,0.351632
22.0,22,0.35323
33.0,33,0.441166
36.0,36,0.442008
20.0,20,0.442503
44.0,44,0.451486
16.0,16,0.456046
10.0,10,0.467969
33.0,33,0.469768
27.0,27,0.471187
22.0,22,0.476455
23.0,23,0.572615
18.0,18,0.573415
23.0,23,0.574522
22.0,22,0.574579
27.0,27,0.584318
17.0,17,0.586131
88.0,88,0.665424
17.0,17,0.666379
23.0,23,0.666804
44.0,44,0.669346
85.0,85,0.669756
52.0,52,0.692204
25.0,25,0.696277
45.0,45,0.697285
82.0,82,0.698079
146.0,146,0.714385
43.0,43,0.715056
59.0,59,0.715279
68.0,68,0.716277
27.0,27,0.720461
27.0,27,0.72068
66.0,66,0.737167
50.0,50,0.740389
49.0,49,0.741953
79.0,79,0.758745
76.0,76,0.759177
40.0,40,0.759602
20.0,20,0.759612
80.0,80,0.761006
62.0,62,0.780542
29.0,29,0.780781
69.0,69,0.781391
84.0,84,0.813684
86.0,86,0.814121
100.0,100,0.814527
102.0,102,0.832064
76.0,76,0.83305
103.0,103,0.834205
26.0,26,0.835181
36.0,36,0.851799
36.0,36,0.855214
112.0,112,0.855823
44.0,44,0.855831
122.0,122,0.857005
82.0,82,0.900327
114.0,114,0.900795
90.0,90,0.901051
57.0,57,0.90106
65.0,65,0.902052
66.0,66,0.902865
91.0,91,0.903931
31.0,31,0.927307
36.0,36,0.927348
50.0,50,0.927765
46.0,46,0.945863
63.0,63,0.948292
86.0,86,0.971338
147.0,147,0.973451
23.0,23,0.976075
66.0,66,0.976491
60.0,60,0.976499
97.0,97,1.017428
65.0,65,1.017679
62.0,62,1.019599
174.0,174,1.020004
134.0,134,1.036217
139.0,139,1.036838
142.0,142,1.081909
143.0,143,1.107293
166.0,166,1.14461
181.0,181,1.14715
243.0,243,1.147565
212.0,212,1.16749
26.0,26,1.168895
49.0,49,1.170879
135.0,135,1.170892
126.0,126,1.196429
99.0,99,1.241322
300.0,300,1.24279
113.0,113,1.243011
138.0,138,1.244524
142.0,142,1.268376
149.0,149,1.285207
373.0,373,1.288464
134.0,134,1.349338
150.0,150,1.366555
241.0,241,1.390434
198.0,198,1.434617
270.0,270,1.458875
372.0,372,1.532197
295.0,295,1.575555
203.0,203,1.577409
428.0,428,1.599519
411.0,411,1.59955
418.0,418,1.644749
303.0,303,1.665774
418.0,418,1.685704
235.0,235,1.826347
344.0,344,1.827253
360.0,360,1.828652
229.0,229,1.851116
280.0,280,1.872151
385.0,385,1.873159
500.0,500,1.874517
492.0,492,1.942101
284.0,284,2.027334
312.0,312,2.036754
323.0,323,2.058798
360.0,360,2.146066
400.0,400,2.146323
396.0,396,2.150779
443.0,443,2.192083
281.0,281,2.235802
221.0,221,2.285262
500.0,500,2.30763
403.0,403,2.308917
245.0,245,2.309166
339.0,339,2.396916
500.0,500,2.41725
336.0,336,2.422511
450.0,450,2.559875
500.0,500,2.652591
476.0,476,2.652897
500.0,500,2.671411
500.0,500,2.672544
409.0,409,2.698748
500.0,500,2.769812
500.0,500,2.799205
500.0,500,2.933999
457.0,457,3.005694
500.0,500,3.026608
500.0,500,3.027007
500.0,500,3.030792
500.0,500,3.075288
500.0,500,3.118806
500.0,500,3.158475
500.0,500,3.282403
500.0,500,3.365833
500.0,500,3.369532
500.0,500,3.369797
500.0,500,3.388859
500.0,500,3.4304
500.0,500,3.479389
500.0,500,3.506791
500.0,500,3.642726
500.0,500,3.709369
500.0,500,3.729438
500.0,500,3.729745
500.0,500,3.750704
500.0,500,3.780717
500.0,500,3.83259
500.0,500,3.877044
500.0,500,4.008483
500.0,500,4.084107
500.0,500,4.108142
500.0,500,4.108455
500.0,500,4.112215
500.0,500,4.154748
500.0,500,4.20228
500.0,500,4.241612
500.0,500,4.363648
500.0,500,4.457539
500.0,500,4.461458
500.0,500,4.461755
500.0,500,4.481872
500.0,500,4.522855
500.0,500,4.566142
500.0,500,4.593395
500.0,500,4.730745
500.0,500,4.798684
500.0,500,4.817633
500.0,500,4.817935
500.0,500,4.821576
500.0,500,4.866518
500.0,500,4.919147
500.0,500,4.9629
500.0,500,5.09493
500.0,500,5.166946
500.0,500,5.171132
500.0,500,5.189048
500.0,500,5.192907
500.0,500,5.238494
500.0,500,5.282433
500.0,500,5.310812
500.0,500,5.439091
500.0,500,5.528897
500.0,500,5.532642
500.0,500,5.532912
500.0,500,5.551744
500.0,500,5.579119
500.0,500,5.640788
500.0,500,5.665727
500.0,500,5.804809
500.0,500,5.871712
500.0,500,5.890139
500.0,500,5.890433
500.0,500,5.89394
500.0,500,5.936336
500.0,500,5.983039
500.0,500,6.028922
500.0,500,6.145825
500.0,500,6.239982
500.0,500,6.244309
500.0,500,6.244754
500.0,500,6.266794
500.0,500,6.315934
500.0,500,6.364596
500.0,500,6.389861
500.0,500,6.525054
500.0,500,6.603394
500.0,500,6.62368
500.0,500,6.62399
500.0,500,6.643156
500.0,500,6.670268
500.0,500,6.716573
500.0,500,6.756612
500.0,500,6.904958
500.0,500,6.972351
500.0,500,6.99103
500.0,500,6.99133
500.0,500,6.994966
500.0,500,7.035646
500.0,500,7.084868
500.0,500,7.130208
500.0,500,7.253098
500.0,500,7.345945
500.0,500,7.350048
500.0,500,7.350356
500.0,500,7.371168
500.0,500,7.415288
500.0,500,7.460042
500.0,500,7.485197
500.0,500,7.623718
500.0,500,7.692083
500.0,500,7.713179
500.0,500,7.713483
500.0,500,7.717226
500.0,500,7.759046
500.0,500,7.81053
500.0,500,7.856689
500.0,500,7.994288
500.0,500,8.076148
500.0,500,8.080307
500.0,500,8.100436
500.0,500,8.104419
500.0,500,8.147857
500.0,500,8.192148
500.0,500,8.216864
500.0,500,8.352078
500.0,500,8.441364
500.0,500,8.445352
500.0,500,8.445643
500.0,500,8.465833
500.0,500,8.493212
500.0,500,8.554968
500.0,500,8.581565
500.0,500,8.721314
500.0,500,8.788926
500.0,500,8.807546
500.0,500,8.807834
500.0,500,8.811338
500.0,500,8.855407
500.0,500,8.904577
500.0,500,8.9492
500.0,500,9.061658
500.0,500,9.1464
500.0,500,9.150342
500.0,500,9.150704
500.0,500,9.1711
500.0,500,9.218552
500.0,500,9.263769
500.0,500,9.289409
500.0,500,9.420511
500.0,500,9.49424
